Samples	Description	Subject	Sex.Coriell	Ethnicity.Coriell	Alt_Pop_ID	Age	Scan_Date
GSM136664.CEL.gz	GM18623	GM18623	Male	HAN CHINESE	CHB	NA	11/18/05 14:53:09
GSM136665.CEL.gz	GM18624	GM18624	Male	HAN CHINESE	CHB	NA	11/18/05 12:34:36
GSM136666.CEL.gz	GM18632	GM18632	Male	HAN CHINESE	CHB	NA	11/18/05 14:26:33
GSM136667.CEL.gz	GM18635	GM18635	Male	HAN CHINESE	CHB	NA	11/18/05 12:22:42
GSM136668.CEL.gz	GM18636	GM18636	Male	HAN CHINESE	CHB	NA	11/18/05 15:05:47
GSM136669.CEL.gz	GM18637	GM18637	Male	HAN CHINESE	CHB	NA	11/18/05 15:17:55
GSM136670.CEL.gz	GM18620	GM18620	Male	HAN CHINESE	CHB	NA	11/18/05 12:28:41
GSM136671.CEL.gz	GM18562	GM18562	Male	HAN CHINESE	CHB	NA	12/21/05 12:34:49
GSM136672.CEL.gz	GM18570	GM18570	Female	HAN CHINESE	CHB	NA	12/21/05 12:28:49
GSM136673.CEL.gz	GM18608	GM18608	Male	HAN CHINESE	CHB	NA	12/21/05 11:09:08
GSM136674.CEL.gz	GM17733	GM17733	Female	HAN	CHB	19	04/28/06 11:57:23
GSM136675.CEL.gz	GM17734	GM17734	Female	HAN	CHB	20	04/28/06 11:57:23
GSM136676.CEL.gz	GM17735	GM17735	Female	HAN	CHB	19	04/28/06 14:46:23
GSM136677.CEL.gz	GM17736	GM17736	Male	HAN	CHB	18	04/28/06 16:06:12
GSM136705.CEL.gz	GM17737	GM17737	Male	HAN	CHB	21	04/28/06 15:37:54
GSM136706.CEL.gz	GM17738	GM17738	Female	HAN	CHB	22	04/28/06 12:28:21
GSM136707.CEL.gz	GM17739	GM17739	Female	HAN	CHB	22	04/28/06 13:59:21
GSM136708.CEL.gz	GM17740	GM17740	Female	HAN	CHB	23	04/28/06 11:49:11
GSM136709.CEL.gz	GM17742	GM17742	Male	HAN	CHB	24	04/28/06 15:00:33
GSM136710.CEL.gz	GM17741	GM17741	Female	HAN	CHB	18	04/28/06 12:04:07
GSM136711.CEL.gz	GM17743	GM17743	Male	HAN	CHB	57	04/28/06 12:14:49
GSM136712.CEL.gz	GM17744	GM17744	Female	HAN	CHB	51	04/28/06 16:21:16
GSM136713.CEL.gz	GM17745	GM17745	Female	HAN	CHB	19	04/28/06 15:53:39
GSM136714.CEL.gz	GM17746	GM17746	Female	HAN	CHB	19	04/28/06 12:43:38
GSM136715.CEL.gz	GM17747	GM17747	Female	HAN	CHB	20	04/28/06 12:34:53
GSM136716.CEL.gz	GM17749	GM17749	Male	HAN	CHB	19	04/28/06 14:05:55
GSM136717.CEL.gz	GM17752	GM17752	Female	HAN	CHB	20	04/28/06 14:53:47
GSM136718.CEL.gz	GM17753	GM17753	Male	HAN	CHB	34	04/28/06 16:14:41
GSM136719.CEL.gz	GM17754	GM17754	Female	HAN	CHB	47	04/28/06 12:21:31
GSM136720.CEL.gz	GM17755	GM17755	Male	HAN	CHB	20	04/28/06 15:46:56
GSM136721.CEL.gz	GM17756	GM17756	Female	HAN	CHB	21	04/28/06 14:38:53
GSM136722.CEL.gz	GM17757	GM17757	Female	HAN	CHB	18	04/28/06 15:07:07
GSM136723.CEL.gz	GM17759	GM17759	Male	HAN	CHB	19	04/28/06 14:12:31
GSM136724.CEL.gz	GM17761	GM17761	Male	HAN	CHB	58	04/28/06 15:26:44
GSM136725.CEL.gz	GM11840	GM11840	Female	UTAH/MORMON	CEU	NA	02/16/05 10:59:22
GSM136726.CEL.gz	GM12056	GM12056	Male	UTAH/MORMON	CEU	NA	02/16/05 10:53:12
GSM136727.CEL.gz	GM12264	GM12264	Male	UTAH/MORMON	CEU	NA	06/10/05 13:58:21
GSM136729.CEL.gz	GM18940	GM18940	Male	JAPANESE	JPT	NA	05/13/05 11:45:57
GSM25349.CEL.gz	GM06985_rep1	GM06985	Female	UTAH/MORMON	CEU	NA	02/04/03 10:49:20
GSM25350.CEL.gz	GM06985_rep2	GM06985	Female	UTAH/MORMON	CEU	NA	02/04/03 11:31:03
GSM25356.CEL.gz	GM06993_rep1	GM06993	Male	UTAH/MORMON	CEU	NA	12/17/02 13:52:06
GSM25357.CEL.gz	GM06993_rep2	GM06993	Male	UTAH/MORMON	CEU	NA	01/30/03 12:38:02
GSM25358.CEL.gz	GM06994_rep1	GM06994	Male	UTAH/MORMON	CEU	NA	01/03/03 10:58:51
GSM25359.CEL.gz	GM06994_rep2	GM06994	Male	UTAH/MORMON	CEU	NA	01/16/03 11:24:13
GSM25360.CEL.gz	GM07000_rep1	GM07000	Male	UTAH/MORMON	CEU	NA	01/03/03 11:05:06
GSM25361.CEL.gz	GM07000_rep2	GM07000	Male	UTAH/MORMON	CEU	NA	02/04/03 11:19:04
GSM25377.CEL.gz	GM07022_rep1	GM07022	Male	UTAH/MORMON	CEU	NA	12/17/02 14:35:08
GSM25378.CEL.gz	GM07022_rep2	GM07022	Male	UTAH/MORMON	CEU	NA	12/17/02 14:29:10
GSM25385.CEL.gz	GM07034_rep1	GM07034	Male	UTAH/MORMON	CEU	NA	12/17/02 14:23:13
GSM25386.CEL.gz	GM07034_rep2	GM07034	Male	UTAH/MORMON	CEU	NA	01/03/03 11:25:12
GSM25399.CEL.gz	GM07055_rep1	GM07055	Female	UTAH/MORMON	CEU	NA	12/17/02 14:17:15
GSM25400.CEL.gz	GM07055_rep2	GM07055	Female	UTAH/MORMON	CEU	NA	12/17/02 14:04:33
GSM25401.CEL.gz	GM07056_rep1	GM07056	Female	UTAH/MORMON	CEU	NA	11/22/02 11:30:10
GSM25402.CEL.gz	GM07056_rep2	GM07056	Female	UTAH/MORMON	CEU	NA	12/06/02 13:30:13
GSM25409.CEL.gz	GM07345_rep1	GM07345	Female	UTAH/MORMON	CEU	NA	01/03/03 11:11:54
GSM25410.CEL.gz	GM07345_rep2	GM07345	Female	UTAH/MORMON	CEU	NA	02/21/03 11:34:17
GSM25426.CEL.gz	GM07357_rep1	GM07357	Male	UTAH/MORMON	CEU	NA	02/21/03 11:28:15
GSM25427.CEL.gz	GM07357_rep2	GM07357	Male	UTAH/MORMON	CEU	NA	12/19/02 11:32:15
GSM25479.CEL.gz	GM11881_rep1	GM11881	Male	UTAH/MORMON	CEU	NA	11/19/02 10:59:40
GSM25480.CEL.gz	GM11881_rep2	GM11881	Male	UTAH/MORMON	CEU	NA	11/21/02 11:49:12
GSM25481.CEL.gz	GM11882_rep1	GM11882	Female	UTAH/MORMON	CEU	NA	11/19/02 11:05:46
GSM25482.CEL.gz	GM11882_rep2	GM11882	Female	UTAH/MORMON	CEU	NA	11/21/02 14:41:17
GSM25524.CEL.gz	GM11992_rep1	GM11992	Male	UTAH/MORMON	CEU	NA	11/21/02 15:56:21
GSM25525.CEL.gz	GM11992_rep2	GM11992	Male	UTAH/MORMON	CEU	NA	11/27/02 16:11:59
GSM25526.CEL.gz	GM11993_rep1	GM11993	Female	UTAH/MORMON	CEU	NA	12/06/02 12:43:10
GSM25527.CEL.gz	GM11993_rep2	GM11993	Female	UTAH/MORMON	CEU	NA	12/06/02 12:19:02
GSM25528.CEL.gz	GM11994_rep1	GM11994	Male	UTAH/MORMON	CEU	NA	11/21/02 14:47:26
GSM25529.CEL.gz	GM11994_rep2	GM11994	Male	UTAH/MORMON	CEU	NA	11/27/02 16:05:46
GSM25530.CEL.gz	GM11995_rep1	GM11995	Female	UTAH/MORMON	CEU	NA	11/21/02 14:35:12
GSM25531.CEL.gz	GM11995_rep2	GM11995	Female	UTAH/MORMON	CEU	NA	12/06/02 13:36:51
GSM25540.CEL.gz	GM12043_rep1	GM12043	Male	UTAH/MORMON	CEU	NA	01/16/03 11:30:24
GSM25541.CEL.gz	GM12043_rep2	GM12043	Male	UTAH/MORMON	CEU	NA	01/16/03 11:54:41
GSM25542.CEL.gz	GM12044_rep1	GM12044	Female	UTAH/MORMON	CEU	NA	01/22/03 14:00:06
GSM25543.CEL.gz	GM12044_rep2	GM12044	Female	UTAH/MORMON	CEU	NA	01/22/03 14:06:15
GSM25548.CEL.gz	GM12144_rep1	GM12144	Male	UTAH/MORMON	CEU	NA	03/11/03 11:12:19
GSM25549.CEL.gz	GM12144_rep2	GM12144	Male	UTAH/MORMON	CEU	NA	03/11/03 11:18:20
GSM25550.CEL.gz	GM12145_rep1	GM12145	Female	UTAH/MORMON	CEU	NA	03/07/03 11:42:48
GSM25551.CEL.gz	GM12145_rep2	GM12145	Female	UTAH/MORMON	CEU	NA	03/07/03 11:18:16
GSM25552.CEL.gz	GM12146_rep1	GM12146	Male	UTAH/MORMON	CEU	NA	04/04/03 14:04:42
GSM25553.CEL.gz	GM12146_rep2	GM12146	Male	UTAH/MORMON	CEU	NA	04/04/03 13:52:29
GSM25561.CEL.gz	GM12154_rep1	GM12154	Male	UTAH/MORMON	CEU	NA	01/23/03 11:29:54
GSM25562.CEL.gz	GM12154_rep2	GM12154	Male	UTAH/MORMON	CEU	NA	01/30/03 13:00:28
GSM25563.CEL.gz	GM12155_rep1	GM12155	Male	UTAH/MORMON	CEU	NA	01/23/03 11:35:49
GSM25564.CEL.gz	GM12155_rep2	GM12155	Male	UTAH/MORMON	CEU	NA	01/30/03 12:51:56
GSM25565.CEL.gz	GM12156_rep1	GM12156	Female	UTAH/MORMON	CEU	NA	02/16/03 21:25:29
GSM25566.CEL.gz	GM12156_rep2	GM12156	Female	UTAH/MORMON	CEU	NA	02/04/03 11:36:58
GSM25568.CEL.gz	GM12236_rep1	NA12236	Female	UTAH/MORMON	CEU	NA	01/23/03 11:11:48
GSM25569.CEL.gz	GM12236_rep2	NA12236	Female	UTAH/MORMON	CEU	NA	02/16/03 21:31:27
GSM25570.CEL.gz	GM12239_rep1	GM12239	Female	UTAH/MORMON	CEU	NA	03/11/03 11:24:18
GSM25571.CEL.gz	GM12239_rep2	GM12239	Female	UTAH/MORMON	CEU	NA	03/11/03 11:30:12
GSM25578.CEL.gz	GM12248_rep1	GM12248	Male	UTAH/MORMON	CEU	NA	10/31/02 13:19:32
GSM25579.CEL.gz	GM12248_rep2	GM12248	Male	UTAH/MORMON	CEU	NA	11/15/02 11:44:58
GSM25580.CEL.gz	GM12249_rep1	GM12249	Female	UTAH/MORMON	CEU	NA	10/31/02 13:29:05
GSM25581.CEL.gz	GM12249_rep2	GM12249	Female	UTAH/MORMON	CEU	NA	11/15/02 11:51:11
GSM25624.CEL.gz	GM12750_rep1	GM12750	Male	UTAH/MORMON	CEU	NA	12/19/02 11:20:09
GSM25625.CEL.gz	GM12750_rep2	GM12750	Male	UTAH/MORMON	CEU	NA	01/03/03 11:43:22
GSM25626.CEL.gz	GM12751_rep1	GM12751	Female	UTAH/MORMON	CEU	NA	01/03/03 11:31:13
GSM25627.CEL.gz	GM12751_rep2	GM12751	Female	UTAH/MORMON	CEU	NA	01/23/03 11:17:49
GSM25628.CEL.gz	GM12760_rep1	GM12760	Male	UTAH/MORMON	CEU	NA	01/16/03 11:38:30
GSM25629.CEL.gz	GM12760_rep2	GM12760	Male	UTAH/MORMON	CEU	NA	01/16/03 11:44:33
GSM25630.CEL.gz	GM12761_rep1	GM12761	Female	UTAH/MORMON	CEU	NA	01/23/03 11:47:41
GSM25631.CEL.gz	GM12761_rep2	GM12761	Female	UTAH/MORMON	CEU	NA	03/04/03 11:09:23
GSM25632.CEL.gz	GM12762_rep1	GM12762	Male	UTAH/MORMON	CEU	NA	01/14/03 15:49:35
GSM25633.CEL.gz	GM12762_rep2	GM12762	Male	UTAH/MORMON	CEU	NA	01/14/03 15:55:41
GSM25634.CEL.gz	GM12763_rep1	GM12763	Female	UTAH/MORMON	CEU	NA	01/14/03 16:01:42
GSM25635.CEL.gz	GM12763_rep2	GM12763	Female	UTAH/MORMON	CEU	NA	01/14/03 16:07:46
GSM25656.CEL.gz	GM12812_rep1	GM12812	Male	UTAH/MORMON	CEU	NA	01/22/03 14:12:29
GSM25657.CEL.gz	GM12812_rep2	GM12812	Male	UTAH/MORMON	CEU	NA	11/22/02 11:05:12
GSM25658.CEL.gz	GM12813_rep1	GM12813	Female	UTAH/MORMON	CEU	NA	12/19/02 11:03:16
GSM25659.CEL.gz	GM12813_rep2	GM12813	Female	UTAH/MORMON	CEU	NA	01/31/03 10:34:01
GSM25660.CEL.gz	GM12814_rep1	GM12814	Male	UTAH/MORMON	CEU	NA	12/19/02 11:44:17
GSM25661.CEL.gz	GM12814_rep2	GM12814	Male	UTAH/MORMON	CEU	NA	12/19/02 11:13:58
GSM25662.CEL.gz	GM12815_rep1	GM12815	Female	UTAH/MORMON	CEU	NA	02/26/03 15:04:23
GSM25663.CEL.gz	GM12815_rep2	GM12815	Female	UTAH/MORMON	CEU	NA	02/26/03 15:12:29
GSM25680.CEL.gz	GM12872_rep1	GM12872	Male	UTAH/MORMON	CEU	NA	02/21/03 11:58:12
GSM25681.CEL.gz	GM12872_rep2	GM12872	Male	UTAH/MORMON	CEU	NA	02/21/03 11:52:13
GSM25682.CEL.gz	GM12873_rep1	GM12873	Female	UTAH/MORMON	CEU	NA	02/26/03 15:36:44
GSM25683.CEL.gz	GM12873_rep2	GM12873	Female	UTAH/MORMON	CEU	NA	02/26/03 15:24:47
GSM25684.CEL.gz	GM12874_rep1	GM12874	Male	UTAH/MORMON	CEU	NA	02/26/03 15:42:44
GSM25685.CEL.gz	GM12874_rep2	GM12874	Male	UTAH/MORMON	CEU	NA	02/26/03 15:48:44
GSM25686.CEL.gz	GM12875_rep1	GM12875	Female	UTAH/MORMON	CEU	NA	02/26/03 15:18:29
GSM25687.CEL.gz	GM12875_rep2	GM12875	Female	UTAH/MORMON	CEU	NA	02/26/03 15:30:46
GSM48650.CEL.gz	GM11829_rep1	GM11829	Male	UTAH/MORMON	CEU	NA	04/30/04 14:28:30
GSM48651.CEL.gz	GM11830_rep1	GM11830	Female	UTAH/MORMON	CEU	NA	04/30/04 11:28:47
GSM48652.CEL.gz	GM11831_rep1	GM11831	Male	UTAH/MORMON	CEU	NA	04/30/04 11:35:17
GSM48653.CEL.gz	GM11832_rep1	GM11832	Female	UTAH/MORMON	CEU	NA	04/30/04 14:46:41
GSM48654.CEL.gz	GM11839_rep1	GM11839	Male	UTAH/MORMON	CEU	NA	12/22/04 11:19:02
GSM48655.CEL.gz	GM12003_rep1	GM12003	Male	UTAH/MORMON	CEU	NA	11/04/04 13:32:17
GSM48656.CEL.gz	GM12004_rep1	GM12004	Female	UTAH/MORMON	CEU	NA	11/04/04 13:24:53
GSM48657.CEL.gz	GM12005_rep1	GM12005	Male	UTAH/MORMON	CEU	NA	11/18/04 14:21:07
GSM48658.CEL.gz	GM12006_rep1	GM12006	Female	UTAH/MORMON	CEU	NA	11/04/04 11:53:15
GSM48660.CEL.gz	GM12057_rep1	GM12057	Female	UTAH/MORMON	CEU	NA	11/18/04 14:14:29
GSM48661.CEL.gz	GM12234_rep1	GM12234	Female	UTAH/MORMON	CEU	NA	12/22/04 11:13:05
GSM48662.CEL.gz	GM12716_rep1	GM12716	Male	UTAH/MORMON	CEU	NA	11/18/04 13:44:05
GSM48663.CEL.gz	GM12717_rep1	GM12717	Female	UTAH/MORMON	CEU	NA	11/18/04 12:13:42
GSM48664.CEL.gz	GM12891_rep1	GM12891	Male	UTAH/MORMON	CEU	NA	11/22/02 11:24:16
GSM48665.CEL.gz	GM12892_rep1	GM12892	Female	UTAH/MORMON	CEU	NA	11/22/02 11:11:30
